Nome de Pregão,Razão Social,Tipo,Segmento,CNPJ,Ticker
RUMO S.A.,RUMO S.A.,ON,NM,02.387.241/0001-60,RAIL3
RUSSELL 2000,ISHARES RUSSELL 2000 ETF,ETF,DRN,,BIWM39
RYANAIR HOLD,RYANAIR HOLDINGS PLC,,DRN,,R1YA34
SABESP,CIA SANEAMENTO BASICO EST SAO PAULO,ON,NM,43.776.517/0001-80,SBSP3
SALESFORCE,SALESFORCE.COM. INC.,,DRN,,SSFO34
SANEPAR,CIA SANEAMENTO DO PARANA - SANEPAR,UNT,N2,76.484.013/0001-45,SAPR11
SANEPAR,CIA SANEAMENTO DO PARANA - SANEPAR,PN,N2,76.484.013/0001-45,SAPR4
SANEPAR,CIA SANEAMENTO DO PARANA - SANEPAR,ON,N2,76.484.013/0001-45,SAPR3
SANSUY,SANSUY S.A. INDUSTRIA DE PLASTICOS,PNB,,14.807.945/0001-24,SNSY6
SANSUY,SANSUY S.A. INDUSTRIA DE PLASTICOS,PNA,,14.807.945/0001-24,SNSY5
SANSUY,SANSUY S.A. INDUSTRIA DE PLASTICOS,ON,,14.807.945/0001-24,SNSY3
SANTANDER,BANCO SANTANDER SA,,DRN,,BCSA34
SANTANDER BR,BCO SANTANDER (BRASIL) S.A.,UNT,,90.400.888/0001-42,SANB11
SANTANDER BR,BCO SANTANDER (BRASIL) S.A.,PN,,90.400.888/0001-42,SANB4
SANTANDER BR,BCO SANTANDER (BRASIL) S.A.,ON,,90.400.888/0001-42,SANB3
SANTANENSE,CIA TECIDOS SANTANENSE,PND,,21.255.567/0001-89,CTSA8
SANTANENSE,CIA TECIDOS SANTANENSE,PN,,21.255.567/0001-89,CTSA4
SANTANENSE,CIA TECIDOS SANTANENSE,ON,,21.255.567/0001-89,CTSA3
SANTOS BRP,SANTOS BRASIL PARTICIPACOES S.A.,ON,NM,02.762.121/0001-04,STBP3
SAO CARLOS,SAO CARLOS EMPREEND E PARTICIPACOES S.A.,ON,NM,29.780.061/0001-09,SCAR3
SAO MARTINHO,SAO MARTINHO S.A.,ON,NM,51.466.860/0001-56,SMTO3
SAP SE,SAP SE,,DRN,,SAPP34
SARAIVA LIVR,SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,UNT,N2,60.500.139/0001-26,SLED11
SARAIVA LIVR,SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,PN,N2,60.500.139/0001-26,SLED4
SARAIVA LIVR,SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,ON,N2,60.500.139/0001-26,SLED3
SARAIVA LIVR,SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL,,N2,60.500.139/0001-26,SLED12
SAREPTA THER,SAREPTA THERAPEUTICS INC,,DRN,,S1RP34
SBA COMMUNIC,SBA COMMUNICATIONS CORP,,DRN,,S1BA34
SCHLUMBERGER,SCHLUMBERGER LIMITED,,DRN,,SLBG34
SCHULZ,SCHULZ S.A.,PN,,84.693.183/0001-68,SHUL4
SCHULZ,SCHULZ S.A.,ON,,84.693.183/0001-68,SHUL3
SCHWAB,THE CHARLES SCHWAB CORPORATION,,DRN,,SCHW34
SEAGATE TECH,SEAGATE TECHNOLOGY PLC,,DRN,,S1TX34
SEAGEN,SEAGEN INC.,,DRN,,S1GE34
SEALED AIR C,SEALED AIR CORP,,DRN,,S1EA34
SEG AL BAHIA,CIA SEGUROS ALIANCA DA BAHIA,PN,,15.144.017/0001-90,CSAB4
SEG AL BAHIA,CIA SEGUROS ALIANCA DA BAHIA,ON,,15.144.017/0001-90,CSAB3
SELECT DIVID,ISHARES SELECT DIVIDEND ETF,ETF,DRN,,BDVY39
SEMPRA ENERG,SEMPRA ENERGY,,DRN,,S1RE34
SEQUOIA LOG,SEQUOIA LOGISTICA E TRANSPORTES S.A,ON,NM,01.599.101/0001-93,SEQL3
SER EDUCA,SER EDUCACIONAL S.A.,ON,NM,04.986.320/0001-13,SEER3
SERVICENOW,SERVICENOW INC,,DRN,,N1OW34
SIBANYE STIL,SIBANYE STILLWATER LTD,,DRN,,S1BS34
SID NACIONAL,CIA SIDERURGICA NACIONAL,ON,,33.042.730/0001-04,CSNA3
SIGNATURE BK,SIGNATURE BANK CORP,,DRN,,SBNY34
SILVER TRUST,ISHARES SILVER TRUST,ETF,DRN,,BSLV39
SIMON PROP,SIMON PROPERTY GROUP INC,,DRN,,SIMN34
SIMPAR,SIMPAR S.A.,ON,NM,07.415.333/0001-20,SIMH3
SINQIA,SINQIA S.A.,ON,NM,04.065.791/0001-99,SQIA3
SIRIUS XM HD,SIRIUS XM HOLDINGS INC,,DRN,,SRXM34
SK TELECOM C,SK TELECOM CO LTD,,DRN,,S1KM34
SKYWORKS SOL,SKYWORKS SOLUTIONS INC,,DRN,,S1SL34
SL GREEN REA,SL GREEN REALTY CORP,,DRN,,S1LG34
SLC AGRICOLA,SLC AGRICOLA S.A.,ON,NM,89.096.457/0001-55,SLCE3
SMART FIT,SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,ON,M2,07.594.978/0001-78,SMFT3
SMILES,SMILES FIDELIDADE S.A.,ON,NM,05.730.375/0001-20,SMLS3
SMITH NEPH,SMITH & NEPHEW PLC,,DRN,,S1NN34
SNAP-ON INC,SNAP-ON INC,,DRN,,S1NA34
SONDOTECNICA,SONDOTECNICA ENGENHARIA SOLOS S.A.,PNB,,33.386.210/0001-19,SOND6
SONDOTECNICA,SONDOTECNICA ENGENHARIA SOLOS S.A.,PNA,,33.386.210/0001-19,SOND5
SONDOTECNICA,SONDOTECNICA ENGENHARIA SOLOS S.A.,ON,,33.386.210/0001-19,SOND3
SONY CORP,SONY CORP,,DRN,,SNEC34
SOUTHWEST AI,SOUTHWEST AIRLINES CO,,DRN,,S1OU34
SP GLOBAL,S&P GLOBAL INC,,DRN,,SPGI34
SPLUNK INC,SPLUNK INC,,DRN,,S1PL34
SPOTIFY TECH,SPOTIFY TECHNOLOGY SA,,DRN,,S1PO34
SPRINGS,SPRINGS GLOBAL PARTICIPACOES S.A.,ON,NM,07.718.269/0001-57,SGPS3
SPTURIS,SAO PAULO TURISMO S.A.,PNB,,62.002.886/0001-60,AHEB6
SPTURIS,SAO PAULO TURISMO S.A.,PNA,,62.002.886/0001-60,AHEB5
SPTURIS,SAO PAULO TURISMO S.A.,ON,,62.002.886/0001-60,AHEB3
SSC TECHNOL,SS&C TECHNOLOGIES HOLDINGS INC,,DRN,,S1SN34
STANLEY BLAC,STANLEY BLACK & DECKER INC,,DRN,,S1WK34
STARA,STARA S.A. - INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS,ON,MA,91.495.499/0001-00,STTR3
STARBUCKS,STARBUCKS CORPORATION,,DRN,,SBUB34
STATE STREET,STATE STREET CORP,,DRN,,S1TT34
STATKRAFT,STATKRAFT ENERGIAS RENOVAVEIS S.A.,ON,,00.622.416/0001-41,STKF3
STERIS PLC,STERIS PLC,,DRN,,S1TE34
STERLING BNC,STERLING BANCORP,,DRN,,SLBC34
STMICROEL,STMICROELECTRONICS NV,,DRN,,STMN34
STRYKER CORP,STRYKER CORP,,DRN,,S1YK34
SUDESTE S/A,SUDESTE S.A.,ON,MB,02.062.747/0001-08,OPSE3B
SUL 116 PART,SUL 116 PARTICIPACOES S.A.,ON,MB,01.957.772/0001-89,OPTS3B
SUL AMERICA,SUL AMERICA S.A.,UNT,N2,29.978.814/0001-87,SULA11
SUL AMERICA,SUL AMERICA S.A.,PN,N2,29.978.814/0001-87,SULA4
SUL AMERICA,SUL AMERICA S.A.,ON,N2,29.978.814/0001-87,SULA3
SUMITOMO MIT,SUMITOMO MITSUI FINANCIAL GROUP INC,,DRN,,S1MF34
SUZANO HOLD,SUZANO HOLDING S.A.,PNB,,60.651.809/0001-05,NEMO6
SUZANO HOLD,SUZANO HOLDING S.A.,PNA,,60.651.809/0001-05,NEMO5
SUZANO HOLD,SUZANO HOLDING S.A.,ON,,60.651.809/0001-05,NEMO3
SUZANO S.A.,SUZANO S.A.,ON,NM,16.404.287/0001-55,SUZB3
SVB FINANCIA,SVB FINANCIAL GROUP,,DRN,,S1IV34
SYNCHRONY FI,SYNCHRONY FINANCIAL,,DRN,,S1YF34
SYNOPSYS INC,SYNOPSYS INC,,DRN,,S1NP34
SYSCO CORP,SYSCO CORP,,DRN,,S1YY34
T ROWE PRICE,T ROWE PRICE GROUP INC,,DRN,,T1RO34
T-MOBILE US,T-MOBILE US INC,,DRN,,T1MU34
TAESA,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,UNT,N2,07.859.971/0001-30,TAEE11
TAESA,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,PN,N2,07.859.971/0001-30,TAEE4
TAESA,TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.,ON,N2,07.859.971/0001-30,TAEE3
TAIWANSMFAC,TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,,DRN,,TSMC34
TAKE-TWO INT,TAKE-TWO INTERACTIVE SOFTWARE INC,,DRN,,T1TW34
TAKEDAPH,TAKEDA PHARMACEUTICAL CO LTD,,DRN,,TAKP34
TAL EDUCATIO,TAL EDUCATION GROUP,,DRN,,T1AL34
TAPESTRY INC,TAPESTRY INC,,DRN,,TPRY34
TARGET CORP,TARGET CORP,,DRN,,TGTB34
TAURUS ARMAS,TAURUS ARMAS S.A.,PN,N2,92.781.335/0001-02,TASA4
TAURUS ARMAS,TAURUS ARMAS S.A.,ON,N2,92.781.335/0001-02,TASA3
TAURUS ARMAS,TAURUS ARMAS S.A.,,N2,92.781.335/0001-02,TASA13
TAURUS ARMAS,TAURUS ARMAS S.A.,,N2,92.781.335/0001-02,TASA15
TAURUS ARMAS,TAURUS ARMAS S.A.,,N2,92.781.335/0001-02,TASA17
TE CONNECTIV,TE CONNECTIVITY LTD,,DRN,,T1EL34
TECHNIPFMC P,TechnipFMC PLC,,DRN,,T1EC34
TECHNOS,TECHNOS S.A.,ON,NM,09.295.063/0001-97,TECN3
TECNISA,TECNISA S.A.,ON,NM,08.065.557/0001-12,TCSA3
TECNOSOLO,TECNOSOLO ENGENHARIA S.A.,PN,,33.111.246/0001-90,TCNO4
TECNOSOLO,TECNOSOLO ENGENHARIA S.A.,ON,,33.111.246/0001-90,TCNO3
TEGMA,TEGMA GESTAO LOGISTICA S.A.,ON,NM,02.351.144/0001-18,TGMA3
TEKA,TEKA-TECELAGEM KUEHNRICH S.A.,PN,,82.636.986/0001-55,TEKA4
TEKA,TEKA-TECELAGEM KUEHNRICH S.A.,ON,,82.636.986/0001-55,TEKA3
TEKNO,TEKNO S.A. - INDUSTRIA E COMERCIO,PN,,33.467.572/0001-34,TKNO4
TEKNO,TEKNO S.A. - INDUSTRIA E COMERCIO,ON,,33.467.572/0001-34,TKNO3
TELEBRAS,TELEC BRASILEIRAS S.A. TELEBRAS,PN,,00.336.701/0001-04,TELB4
TELEBRAS,TELEC BRASILEIRAS S.A. TELEBRAS,ON,,00.336.701/0001-04,TELB3
TELEF BRASIL,TELEFÔNICA BRASIL S.A,ON,,02.558.157/0001-62,VIVT3
TELEFLEX INC,TELEFLEX INC,,DRN,,T1FX34
TELEFONIC,TELEFONICA SA,,DRN,,TLNC34
TENARIS SA,TENARIS SA,,DRN,,T1SS34
TENDA,CONSTRUTORA TENDA S.A.,ON,NM,71.476.527/0001-35,TEND3
TERNIUMSA,TERNIUM SA,,DRN,,TXSA34
TERRA SANTA,TERRA SANTA AGRO S.A.,ON,NM,05.799.312/0001-20,TESA3
TERRA SANTA,TERRA SANTA AGRO S.A.,,NM,05.799.312/0001-20,TESA12
TESLA INC,TESLA. INC,,DRN,,TSLA34
TEVA PHARMAC,TEVA PHARMACEUTICAL INDUSTRIES LTD,,DRN,,T1EV34
TEX RENAUX,TEXTIL RENAUXVIEW S.A.,ON,,82.982.075/0001-80,TXRX3
TEXAS INC,TEXAS INSTRUMENTS INC.,,DRN,,TEXA34
TEXTRON INC,TEXTRON INC,,DRN,,T1XT34
THE JM SMUCK,THE JM SMUCKER CO,,DRN,,S1JM34
THE PROGRESS,The Progressive Corp,,DRN,,P1GR34
THE SHERWIN,THE SHERWIN-WILLIAMS CO,,DRN,,S1HW34
THE SOUTHERN,THE SOUTHERN CO,,DRN,,T1SO34
THERMFISCHER,THERMO FISHER SCIENTIFIC. INC.,,DRN,,TMOS34
TIFFANY,TIFFANY CO,,DRN,,TIFF34
TIM,TIM S.A.,ON,NM,02.421.421/0001-11,TIMS3
TIME FOR FUN,T4F ENTRETENIMENTO S.A.,ON,NM,02.860.694/0001-62,SHOW3
TJX COMPANIE,TJX COMPANIES INC,,DRN,,TJXC34
TOTVS,TOTVS S.A.,ON,NM,53.113.791/0001-22,TOTS3
TOYOTAMO,TOYOTA MOTOR CORP.,,DRN,,TMCO34
TRACK FIELD,TRACK & FIELD CO S.A.,PN,N2,59.418.806/0001-47,TFCO4
TRACTOR SUPP,TRACTOR SUPPLY CO,,DRN,,T1SC34
TRAN PAULIST,CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,PN,N1,02.998.611/0001-04,TRPL4
TRAN PAULIST,CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA,ON,N1,02.998.611/0001-04,TRPL3
TRANE TECH,TRANE TECHNOLOGIES PLC,,DRN,,I1RP34
TRANSDIGM GR,TRANSDIGM GROUP INC,,DRN,,T1DG34
TRANSOCEAN,TRANSOCEAN LTD.,,DRN,,RIGG34
TRAVELERS,THE TRAVELERS COMPANIES. INC,,DRN,,TRVC34
TREVISA,TREVISA INVESTIMENTOS S.A.,PN,,92.660.570/0001-26,LUXM4
TREVISA,TREVISA INVESTIMENTOS S.A.,ON,,92.660.570/0001-26,LUXM3
TRIPADVISOR,TRIPADVISOR INC,,DRN,,T1RI34
TRISUL,TRISUL S.A.,ON,NM,08.811.643/0001-27,TRIS3
TRIUNFO PART,TPI - TRIUNFO PARTICIP. E INVEST. S.A.,ON,NM,03.014.553/0001-91,TPIS3
TRTMSCI EAFE,ISHARES ESG AWARE MSCI EAFE ETF,ETF,DRN,,BEGD39
TRUESEC,TRUE SECURITIZADORA S.A.,,,12.130.744/0001-00,APCS-CRI05B0
TRUIST FINAN,TRUIST FINANCIAL CORPORATION,,DRN,,B1BT34
TRUSTMSCI US,ISHARES ESG AWARE MSCI USA ETF,ETF,DRN,,BEGU39
TUPY,TUPY S.A.,ON,NM,84.683.374/0001-49,TUPY3
TWILIO INC,TWILIO INC,,DRN,,T1WL34
TWITTER,TWITTER. INC.,,DRN,,TWTR34
TYSON FOODS,TYSON FOODS INC,,DRN,,TSNF34
UBER TECH IN,UBER TECHNOLOGIES INC,,DRN,,U1BE34
UBS GROUP,UBS GROUP AG,,DRN,,UBSG34
UDR INC,UDR INC,,DRN,,U1DR34
ULTA BEAUTY,ULTA BEAUTY INC,,DRN,,U1LT34
ULTRAPAR,ULTRAPAR PARTICIPACOES S.A.,ON,NM,33.256.439/0001-39,UGPA3
UNDER ARMOUR,UNDER ARMOUR INC,,DRN,,U1AI34
UNICASA,UNICASA INDÚSTRIA DE MÓVEIS S.A.,ON,NM,90.441.460/0001-48,UCAS3
UNILEVER,UNILEVER PLC,,DRN,,ULEV34
UNIONPACIFIC,UNION PACIFIC CORPORATION,,DRN,,UPAC34
UNIPAR,UNIPAR CARBOCLORO S.A.,PNB,,33.958.695/0001-78,UNIP6
UNIPAR,UNIPAR CARBOCLORO S.A.,PNA,,33.958.695/0001-78,UNIP5
UNIPAR,UNIPAR CARBOCLORO S.A.,ON,,33.958.695/0001-78,UNIP3
UNITED AIRLI,UNITED AIRLINES HOLDINGS INC,,DRN,,U1AL34
UNITED RENTA,UNITED RENTALS INC,,DRN,,U1RI34
UNITEDHEALTH,UNITEDHEALTH GROUP INC,,DRN,,UNHH34
UNIVERSAL HE,UNIVERSAL HEALTH SERVICES INC,,DRN,,U1HS34
UNUM GROUP,UNUM GROUP,,DRN,,U1NM34
UPS,UNITED PARCEL SERVICE. INC.,,DRN,,UPSS34
UPTICK,UPTICK PARTICIPACOES S.A.,ON,MB,02.162.616/0001-94,UPKP3B
US AEROSPACE,ISHARES US AEROSPACE & DEFENSE ETF,ETF,DRN,,BAER39
US BANCORP,U.S. BANCORP,,DRN,,USBC34
US FINANCIAL,ISHARES US FINANCIALS ETF,ETF,DRN,,BIYF39
US STEEL,UNITED STATES STEEL CORPORATION,,DRN,,USSX34
US TECHNOLOG,ISHARES US TECHNOLOGY ETF,ETF,DRN,,BIYW39
USIMINAS,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,PNB,N1,60.894.730/0001-05,USIM6
USIMINAS,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,PNA,N1,60.894.730/0001-05,USIM5
USIMINAS,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,ON,N1,60.894.730/0001-05,USIM3
VALE,VALE S.A.,ON,NM,33.592.510/0001-54,VALE3
VALERO ENER,VALERO ENERGY CORPORATION,,DRN,,VLOE34
VALID,VALID SOLUÇÕES S.A.,ON,NM,33.113.309/0001-47,VLID3
VALLEY NTION,VALLEY NATIONAL BANCORP,,DRN,,VLYB34
VARIAN MEDIC,VARIAN MEDICAL SYSTEMS INC,,DRN,,V1AR34
VENTAS INC,VENTAS INC,,DRN,,V1TA34
VERISIGN INC,VERISIGN INC,,DRN,,VRSN34
VERISK ANALY,VERISK ANALYTICS INC,,DRN,,V1RS34
VERIZON,VERIZON COMMUNICATIONS INC.,,DRN,,VERZ34
VERTCIASEC,VERT COMPANHIA SECURITIZADORA,,,25.005.683/0001-09,VERT-CRAE2B0
VERTEX PHARM,VERTEX PHARMACEUTICALS INC,,DRN,,VRTX34
VF CORP,VF CORP,,DRN,,VFCO34
VIACOMCBS,VIACOMCBS Inc.,,DRN,,C1BS34
VIAVAREJO,VIA VAREJO S.A.,ON,NM,33.041.260/0652-90,VVAR3
VIPSHOP HOLD,VIPSHOP HOLDINGS LTD,,DRN,,V1IP34
VISA INC,VISA INC.,,DRN,,VISA34
VIVARA S.A.,VIVARA PARTICIPAÇOES S.A,ON,NM,33.839.910/0001-11,VIVA3
VIVER,VIVER INCORPORADORA E CONSTRUTORA S.A.,ON,NM,67.571.414/0001-41,VIVR3
VODAFONE GRO,VODAFONE GROUP PUBLIC LTD COMPANY,,DRN,,V1OD34
VORNADO REAL,VORNADO REALTY TRUST,,DRN,,V1NO34
VULCABRAS,VULCABRAS/AZALEIA S.A.,ON,NM,50.926.955/0001-42,VULC3
VULCAN MATER,VULCAN MATERIALS CO,,DRN,,V1MC34
WABTEC CORP,WABTEC CORP,,DRN,,W1AB34
WAL MART,WALMART INC.,,DRN,,WALM34
WALGREENS,WALGREENS BOOTS ALLIANCE INC,,DRN,,WGBA34
WALT DISNEY,THE WALT DISNEY COMPANY,,DRN,,DISB34
WARNER MUSIC,WARNER MUSIC GROUP CORPORATION,,DRN,,W1MG34
WASTE MANAG,WASTE MANAGEMENT INC,,DRN,,W1MC34
WATERS CORP,WATERS CORP,,DRN,,WATC34
WATSCO INC,WATSCO INC,,DRN,,W1SO34
WEC ENERGY G,WEC ENERGY GROUP INC,,DRN,,W1EC34
WEG,WEG S.A.,ON,NM,84.429.695/0001-11,WEGE3
WEIBO CORP,WEIBO CORP,,DRN,,W1BO34
WELLS FARGO,WELLS FARGO & COMPANY,,DRN,,WFCO34
WELLTOWER IN,WELLTOWER INC,,DRN,,W1EL34
WESTERN BCOR,WESTERN ALLIANCE BANCORPORATION,,DRN,,WABC34
WESTERN DIG,WESTERN DIGITAL CORP,,DRN,,W1DC34
WESTERNUNION,THE WESTERN UNION COMPANY,,DRN,,WUNI34
WESTPAC BANK,WESTPAC BANKING CORP,,DRN,,W1BK34
WESTROCK CO,WESTROCK CO,,DRN,,W1RK34
WETZEL S/A,WETZEL S.A.,PN,,84.683.671/0001-94,MWET4
WETZEL S/A,WETZEL S.A.,ON,,84.683.671/0001-94,MWET3
WEYERHAEUSER,WEYERHAEUSER CO,,DRN,,W1YC34
WHIRLPOOL,WHIRLPOOL S.A.,PN,,59.105.999/0001-86,WHRL4
WHIRLPOOL,WHIRLPOOL S.A.,ON,,59.105.999/0001-86,WHRL3
WHIRLPOOL CO,WHIRLPOOL CORP,,DRN,,W1HR34
WILLIAMS COS,THE WILLIAMS COS INC,,DRN,,W1MB34
WILLIS TOWER,WILLIS TOWERS WATSON PLC,,DRN,,W1LT34
WILSON SONS,WILSON SONS LTD.,,DR3,05.721.735/0001-28,WSON33
WIX.COM LTD,WIX.COM LTD,,DRN,,W1IX34
WIZ S.A.,WIZ SOLUÇÕES E CORRETAGEM DE SEGUROS S.A.,ON,NM,42.278.473/0001-03,WIZS3
WLM IND COM,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,PN,,33.228.024/0001-51,WLMM4
WLM IND COM,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,ON,,33.228.024/0001-51,WLMM3
WORKDAY INC,WORKDAY INC,,DRN,,W1DA34
WPP PLC,WPP PLC,,DRN,,W1PP34
WR BERKLEY C,WR BERKLEY CORPORATION,,DRN,,W1RB34
WW GRAINGER,WW GRAINGER INC,,DRN,,G1WW34
WYNN RESORTS,WYNN RESORTS LTD,,DRN,,W1YN34
XCEL ENERGY,XCEL ENERGY INC,,DRN,,X1EL34
XEROX CORP,XEROX HOLDINGS CORPORATION,,DRN,,XRXB34
XILINX INC,XILINX INC,,DRN,,X1LN34
XYLEM INC,XYLEM INC,,DRN,,X1YL34
YDUQS PART,YDUQS PARTICIPACOES S.A.,ON,NM,08.807.432/0001-10,YDUQ3
YUM BRANDS,YUM BRANDS INC,,DRN,,YUMR34
ZEBRA TECHNO,ZEBRA TECHNOLOGIES CORPORATION,,DRN,,Z1BR34
ZIMMER BIOME,ZIMMER BIOMET HOLDINGS INC,,DRN,,Z1BH34
ZIONSBANCORP,ZIONS BANCORPORATION NA,,DRN,,Z1IO34
ZOETIS INC,ZOETIS INC,,DRN,,Z1TS34
ZOOM VIDEO,ZOOM VIDEO COMMUNICATIONS INC,,DRN,,Z1OM34
ZTO EXPRESS,ZTO EXPRESS CAYMAN INC,,DRN,,Z1TO34
